# m=1, k=39.4784, p=2
# x0=0, v0=1
# t_start=0, t_end=15, h=0.001
#   t          x(t)               v(t)               KE(t)              PE(x(t)) 
0.0000  0.000000000000000e+00  1.000000000000000e+00  5.000000000000000e-01  0.000000000000000e+00
0.0100  9.988592990472165e-03  9.970451604685976e-01  4.970495260069258e-01  1.969420141823516e-03
0.0200  1.992780167110098e-02  9.901437093349980e-01  4.901922825678345e-01  7.838780897873302e-03
0.0300  2.977846949181045e-02  9.793434645072451e-01  4.795568107365268e-01  1.750388642132182e-02
0.0400  3.950182829522435e-02  9.646909251577432e-01  4.653142905408513e-01  3.080095163857453e-02
0.0500  4.905965085214398e-02  9.462477396304080e-01  4.476923923778282e-01  4.750930171187919e-02
0.0600  5.841440111089206e-02  9.240904471228243e-01  4.269715772318307e-01  6.735496239738671e-02
0.0700  6.752938157008390e-02  8.983101608885744e-01  4.034805725778282e-01  9.001508295314599e-02
0.0800  7.636887719637875e-02  8.690121942678107e-01  3.775910968930776e-01  1.151231202514012e-01
0.0900  8.489829532297072e-02  8.363156310783688e-01  3.497119173930052e-01  1.422747008994584e-01
0.1000  9.308430098099733e-02  8.003528421176549e-01  3.202823359429039e-01  1.710340676576995e-01
0.1100  1.008949471346061e-01  7.612689497363612e-01  2.897652069163512e-01  2.009410074250505e-01
0.1200  1.082997993110510e-01  7.192212426479373e-01  2.586395979380215e-01  2.315181506804453e-01
0.1300  1.152700541398101e-01  6.743785433318864e-01  2.273932098532185e-01  2.622785266366077e-01
0.1400  1.217786513392250e-01  6.269205305735865e-01  1.965146758273336e-01  2.927332545650144e-01
0.1500  1.278003787154724e-01  5.770370198577690e-01  1.664858611431677e-01  3.223992498443996e-01
0.1600  1.333119697666774e-01  5.249272044963187e-01  1.377742850101600e-01  3.508068232958410e-01
0.1700  1.382921935145512e-01  4.707988605230670e-01  1.108257835349091e-01  3.775070542913527e-01
0.1800  1.427219362169761e-01  4.148675185281395e-01  8.605752896484807e-02  4.020788219258631e-01
0.1900  1.465842746473321e-01  3.573556057316621e-01  6.385151447392155e-02  4.241353841607910e-01
0.2000  1.498645406599367e-01  2.984915617107204e-01  4.454860620625240e-02  4.433304021890445e-01
