# omega0=1, alpha=0.2
# theta0=-0.8001, theta_dot0=0.1234
# t_start=0, t_end=200, h=0.0116355
#   t          x(t)                 v(t)       
0  -8.001000000000000e-01  1.234000000000000e-01
1.163552834662887e-01 -7.750761627911117e-01 3.056444743996402e-01
2.327105669325774e-01 -7.292654787722943e-01 4.803539519240991e-01
3.490658503988658e-01 -6.636666209202657e-01 6.454201841253185e-01
4.654211338651543e-01 -5.795282977191318e-01 7.986516402208186e-01
5.817764173314427e-01 -4.783585952778875e-01 9.377886611137332e-01
6.981317007977311e-01 -3.619292759247917e-01 1.060575386465218e+00
8.144869842640196e-01 -2.322684818431416e-01 1.164885791999109e+00
9.308422677303080e-01 -9.163624838944462e-02 1.248889768823197e+00
1.047197551196597e+00 5.752043549873641e-02 1.311233441946804e+00
1.163552834662887e+00 2.126327443740286e-01 1.351199650779055e+00
1.279908118129176e+00 3.710909351236464e-01 1.368813699019204e+00
1.396263401595466e+00 5.303330475812371e-01 1.364868215391954e+00
1.512618685061755e+00 6.879312412068486e-01 1.340857756767251e+00
1.628973968528045e+00 8.416656872085821e-01 1.298833604629309e+00
1.745329251994334e+00 9.895781668079273e-01 1.241205583595037e+00
1.861684535460624e+00 1.130001208839877e+00 1.170525742306974e+00
1.978039818926913e+00 1.261562644688881e+00 1.089287068771595e+00
2.094395102393201e+00 1.383168844944167e+00 9.997613764435015e-01
2.210750385859488e+00 1.493972011560254e+00 9.038883320478416e-01
2.327105669325776e+00 1.593327613266186e+00 8.032163425513440e-01
2.443460952792063e+00 1.680747638603452e+00 6.988881467823945e-01
2.559816236258350e+00 1.755854247228668e+00 5.916601103520560e-01
2.676171519724638e+00 1.818337065115294e+00 4.819437458502697e-01
2.792526803190925e+00 1.867916117292537e+00 3.698596734727999e-01
2.908882086657212e+00 1.904311405312741e+00 2.552969372487739e-01
3.025237370123500e+00 1.927219480358789e+00 1.379734591882881e-01
3.141592653589787e+00 1.936297025472029e+00 1.749597542078898e-02
3.257947937056074e+00 1.931151392952253e+00 -1.065801377888065e-01
3.374303220522362e+00 1.911338184430762e+00 -2.346892142710764e-01
3.490658503988649e+00 1.876366248678689e+00 -3.671889087509562e-01
3.607013787454936e+00 1.825710839587032e+00 -5.042857830367344e-01
3.723369070921223e+00 1.758836042614423e+00 -6.459500247909493e-01
3.839724354387511e+00 1.675227828121201e+00 -7.918180787039130e-01
3.956079637853798e+00 1.574439058118553e+00 -9.410852879197634e-01
4.072434921320085e+00 1.456147230254884e+00 -1.092396179409988e+00
4.188790204786373e+00 1.320224414553820e+00 -1.243747971121545e+00
4.305145488252660e+00 1.166816474631631e+00 -1.392432492265277e+00
4.421500771718947e+00 9.964251933406693e-01 -1.535050554312520e+00
4.537856055185235e+00 8.099826815297319e-01 -1.667636233830561e+00
4.654211338651522e+00 6.089034274576876e-01 -1.785920240178327e+00
4.770566622117809e+00 3.950972421789083e-01 -1.885736287172273e+00
4.886921905584097e+00 1.709281970605377e-01 -1.963532722401495e+00
5.003277189050384e+00 -6.088817807973840e-02 -2.016904458214213e+00
5.119632472516671e+00 -2.974451543006407e-01 -2.045028155642625e+00
5.235987755982959e+00 -5.358444450014230e-01 -2.048887944793881e+00
5.352343039449246e+00 -7.734064477119162e-01 -2.031227073080101e+00
5.468698322915533e+00 -1.007859087429813e+00 -1.996237023090050e+00
5.585053606381821e+00 -1.237478989438287e+00 -1.949067342435308e+00
5.701408889848108e+00 -1.461170989530476e+00 -1.895276673805357e+00
5.817764173314395e+00 -1.678485986156872e+00 -1.840338087165158e+00
5.934119456780683e+00 -1.889588186012887e+00 -1.789271883252328e+00
6.050474740246970e+00 -2.095188400394830e+00 -1.746429296087571e+00
6.166830023713257e+00 -2.296460272379020e+00 -1.715410094215569e+00
6.283185307179544e+00 -2.494952831771867e+00 -1.699074252516702e+00
6.399540590645832e+00 -2.692507622823432e+00 -1.699601218852935e+00
6.515895874112119e+00 -2.891183379338992e+00 -1.718553797649328e+00
6.632251157578406e+00 -3.093186647227014e+00 -1.756911292689968e+00
6.748606441044694e+00 -3.300803117357561e+00 -1.815044696717486e+00
6.864961724510981e+00 -3.516321730262934e+00 -1.892614801147337e+00
6.981317007977268e+00 -3.741941943175743e+00 -1.988384284718164e+00
7.097672291443556e+00 -3.979654386609746e+00 -2.099951412192766e+00
7.214027574909843e+00 -4.231087525052476e+00 -2.223441039416332e+00
7.330382858376130e+00 -4.497319420815611e+00 -2.353230984500182e+00
7.446738141842418e+00 -4.778665742032372e+00 -2.481842943124193e+00
