# omega0=1, alpha=0
# theta0=-0.8, theta_dot0=0.1234
# t_start=0, t_end=100, h=0.00911928
#   t          x(t)                 v(t)       
30.0936 3.776941686622857e+01 6.567491284722768e+00
3.018482346409919e+01 3.836312922123725e+01 6.442498471912414e+00
3.027601628423242e+01 3.894268818852931e+01 6.260451080209982e+00
3.036720910436565e+01 3.950396856639638e+01 6.046360009988065e+00
3.045840192449888e+01 4.004534441169122e+01 5.828343364736616e+00
3.054959474463211e+01 4.056754771000494e+01 5.628803225011227e+00
3.064078756476534e+01 4.107288625723304e+01 5.459420875458170e+00
3.073198038489857e+01 4.156419267038591e+01 5.320130310603742e+00
3.082317320503180e+01 4.204381870232046e+01 5.200920743525435e+00
3.091436602516503e+01 4.251287752673075e+01 5.085310029592558e+00
3.100555884529826e+01 4.297084661734134e+01 4.954656593062460e+00
3.109675166543149e+01 4.341557308420530e+01 4.792531981410002e+00
3.118794448556472e+01 4.384364535563335e+01 4.588217884036907e+00
3.127913730569795e+01 4.425100880211499e+01 4.338440556081519e+00
3.137033012583118e+01 4.463364250278357e+01 4.046983059667292e+00
3.146152294596441e+01 4.498811775582539e+01 3.722614007150057e+00
3.155271576609764e+01 4.531192799928732e+01 3.376329314786981e+00
3.164390858623087e+01 4.560357500211030e+01 3.018903034378212e+00
3.173510140636410e+01 4.586246930703521e+01 2.659311870435961e+00
3.182629422649733e+01 4.608873079012109e+01 2.304097154896688e+00
3.191748704663056e+01 4.628296501217424e+01 1.957418412160943e+00
3.200867986676379e+01 4.644606357200041e+01 1.621475065028871e+00
3.209987268689702e+01 4.657904946374853e+01 1.297037319541943e+00
3.219106550703025e+01 4.668296961666189e+01 9.839328849883330e-01
3.228225832716348e+01 4.675882710450801e+01 6.814252264084729e-01
3.237345114729671e+01 4.680754244749299e+01 3.884749630159976e-01
3.246464396742994e+01 4.682993409698370e+01 1.039035608405600e-01
3.255583678756317e+01 4.682671047456858e+01 -1.735119545074390e-01
3.264702960769640e+01 4.679846862275856e+01 -4.449840341364601e-01
3.273822242782963e+01 4.674569706715990e+01 -7.116731386198470e-01
3.282941524796286e+01 4.666878271542557e+01 -9.746372174488057e-01
3.292060806809609e+01 4.656802350953551e+01 -1.234753199312016e+00
3.301180088822932e+01 4.644365009959299e+01 -1.492595555372733e+00
3.310299370836255e+01 4.629586092648312e+01 -1.748262784722202e+00
3.319418652849578e+01 4.612487553260342e+01 -2.001152349520595e+00
3.328537934862901e+01 4.593101020139665e+01 -2.249700504285714e+00
3.337657216876224e+01 4.571477750894717e+01 -2.491127067164273e+00
3.346776498889547e+01 4.547700639633719e+01 -2.721254750977989e+00
3.355895780902870e+01 4.521897170389827e+01 -2.934500119499340e+00
3.365015062916194e+01 4.494251263870893e+01 -3.124141827593994e+00
3.374134344929517e+01 4.465011110870428e+01 -3.282939040064282e+00
3.383253626942840e+01 4.434489786036847e+01 -3.404083185891066e+00
3.392372908956163e+01 4.403056183489737e+01 -3.482331613927933e+00
3.401492190969486e+01 4.371115806100070e+01 -3.515045960671985e+00
3.410611472982809e+01 4.339083737377705e+01 -3.502819555830598e+00
3.419730754996132e+01 4.307354657859414e+01 -3.449477388315050e+00
3.428850037009455e+01 4.276275844733537e+01 -3.361439903073880e+00
3.437969319022778e+01 4.246128159561827e+01 -3.246654848396043e+00
3.447088601036101e+01 4.217117556049116e+01 -3.113412405722470e+00
3.456207883049424e+01 4.189376794697898e+01 -2.969330956993551e+00
3.465327165062747e+01 4.162974943765568e+01 -2.820679215218189e+00
3.474446447076070e+01 4.137931374075568e+01 -2.672063680934731e+00
3.483565729089393e+01 4.114231166404411e+01 -2.526415663696107e+00
3.492685011102716e+01 4.091839660808436e+01 -2.385174781531882e+00
3.501804293116039e+01 4.070714815151167e+01 -2.248571581277006e+00
3.510923575129362e+01 4.050816817065939e+01 -2.115937866023895e+00
3.520042857142685e+01 4.032114912240912e+01 -1.986001831006285e+00
3.529162139156008e+01 4.014591695385780e+01 -1.857147367603560e+00
3.538281421169331e+01 3.998245228844268e+01 -1.727630834342096e+00
3.547400703182654e+01 3.983089378503793e+01 -1.595755630028430e+00
3.556519985195977e+01 3.969152739345172e+01 -1.460007491192495e+00
3.565639267209300e+01 3.956476493686563e+01 -1.319153794836673e+00
3.574758549222623e+01 3.945111516652018e+01 -1.172309814720592e+00
3.583877831235946e+01 3.935115017687890e+01 -1.018974678731863e+00
3.592997113249269e+01 3.926546981325522e+01 -8.590399636249452e-01
3.602116395262592e+01 3.919466641583946e+01 -6.927743350971017e-01
3.611235677275915e+01 3.913929191007762e+01 -5.207881288003998e-01
3.620354959289238e+01 3.909982888431690e+01 -3.439820137930343e-01
3.629474241302561e+01 3.907666692099974e+01 -1.634837472409663e-01
3.638593523315884e+01 3.907008510206650e+01 1.942345713218737e-02
3.647712805329207e+01 3.908024131824673e+01 2.033781006691469e-01
3.656832087342530e+01 3.910716878237764e+01 3.870208952162337e-01
3.665951369355853e+01 3.915077996376957e+01 5.690767208915604e-01
3.675070651369176e+01 3.921087799117210e+01 7.484361134444119e-01
3.684189933382499e+01 3.928717537485500e+01 9.242338209832133e-01
3.693309215395822e+01 3.937931963562840e+01 1.095921083146901e+00
3.702428497409145e+01 3.948692507576192e+01 1.263327231548123e+00
3.711547779422468e+01 3.960960947855010e+01 1.426705207810142e+00
3.720667061435791e+01 3.974703399251690e+01 1.586754804919001e+00
3.729786343449114e+01 3.989894386457058e+01 1.744616881554460e+00
3.738905625462437e+01 4.006520704975490e+01 1.901831331502683e+00
3.748024907475760e+01 4.024584704029614e+01 2.060250954350976e+00
3.757144189489083e+01 4.044106549800105e+01 2.221902382807084e+00
3.766263471502406e+01 4.065124941419343e+01 2.388784082338307e+00
