E value     cross section    Breit Wigner
5    10.8025    10.5008
10    12.3273    11.8768
15    13.977    13.5231
20    15.8137    15.5088
25    17.9    17.923
30    20.3561    20.8806
35    23.5341    24.5274
40    27.8441    29.0422
45    33.6961    34.6295
50    41.5    41.4868
55    51.3407    49.718
60    62.0023    59.153
65    71.9435    69.0624
70    79.6231    77.9031
75    83.5    83.5021
80    82.5097    84.0513
85    77.495    79.3542
90    69.7754    70.9803
95    60.6706    61.1337
100    51.5    51.5219
105    43.3485    43.0231
110    36.3618    35.8938
115    30.4508    30.0671
120    25.5266    25.3546
125    21.5    21.5496
130    18.2748    18.4669
135    15.7252    15.9541
140    13.7182    13.8905
145    12.1208    12.1825
150    10.8    10.7571
155    9.64356    9.55836
160    8.62251    8.5425
165    7.72868    7.67545
170    6.9539    6.9304
175    6.29    6.28612
180    5.72675    5.72568
185    5.24566    5.23545
190    4.82621    4.80442
195    4.44783    4.4236
200    4.09    4.08561
