# uniform1 uniform2 gaussian1 gaussian2
  0.078300 0.037477 -0.386516 0.281251
  0.638314 0.744421 0.276908 1.097944
  0.871635 0.651497 -0.448388 0.901137
  0.571775 0.113027 1.248720 -0.012968
  0.106358 0.490974 -0.362479 -0.008444
  0.778079 0.519320 0.191421 0.330171
  0.759527 0.031698 -1.809420 -0.495201
  0.425093 0.442774 -0.209920 -0.490444
  0.831858 0.705628 -1.932409 -1.584871
  0.845238 0.899360 -1.288779 0.139050
  0.845485 0.255617 1.158703 -0.144455
  0.630759 0.558044 0.188314 -0.616976
  0.056141 0.377400 -1.614001 0.492712
  0.001036 0.802560 1.534017 0.095590
  0.345614 0.799499 1.066681 0.445412
  0.083725 0.895380 -0.497065 -0.032927
  0.314880 0.266855 0.238157 -0.012270
  0.433857 0.466946 -0.436380 1.285836
  0.904512 0.011638 -0.873009 -0.434591
  0.678145 0.320104 -1.680496 1.352632
  0.323314 0.943033 -0.316733 0.289227
  0.516536 0.502366 -0.171936 -0.290392
  0.482428 0.022335 0.684951 0.274768
  0.889947 0.864539 1.236630 -2.079808
  0.552145 0.174408 1.445399 2.198641
  0.509732 0.518278 -1.083031 -0.188976
  0.780298 0.464517 -1.903046 2.655345
  0.612007 0.116346 1.510340 0.315742
  0.773551 0.147399 -1.320689 0.078258
  0.323642 0.424596 -0.358039 -0.502841
  0.861748 0.063016 -0.425593 0.153029
  0.455949 0.886926 1.150306 -0.267795
  0.280884 0.127781 1.036908 -0.226494
  0.712150 0.528539 -0.629931 2.146351
  0.587083 0.088243 1.009505 0.003926
  0.188123 0.311541 -0.057202 0.232787
  0.403631 0.557243 -0.482576 1.290144
  0.630033 0.848637 0.017713 0.204530
  0.736154 0.087255 2.642166 0.803770
  0.977077 0.710318 -0.844962 -0.759293
  0.651934 0.875661 -1.181188 0.795542
  0.745816 0.783462 1.480619 -0.281291
  0.385675 0.487051 -0.375557 0.467070
  0.347090 0.776857 3.243383 -0.660377
  0.234853 0.653680 -0.769082 -0.910019
  0.931030 0.286197 -1.455471 -0.695305
  0.197526 0.978123 0.418395 0.175951
  0.515411 0.630367 -2.354121 -0.103078
  0.694585 0.310834 0.322670 -2.327835
  0.628079 0.558666 0.344985 -0.096193
  0.664734 0.577618 0.580899 0.904062
  0.475671 0.453383 0.245436 -1.239133
  0.563702 0.690345 -0.355884 1.140486
  0.168495 0.940432 -1.007314 -0.306223
