# Ising model in 2dimensions at kT = 0.5
#  time     energy  
      0     -296.000
      1     -406.000
      2     -492.000
      3     -524.000
      4     -546.000
      5     -554.000
      6     -564.000
      7     -578.000
      8     -578.000
      9     -582.000
     10     -586.000
     11     -590.000
     12     -590.000
     13     -592.000
     14     -596.000
     15     -600.000
     16     -604.000
     17     -608.000
     18     -610.000
     19     -612.000
     20     -612.000
     21     -616.000
     22     -618.000
     23     -620.000
     24     -624.000
     25     -628.000
     26     -628.000
     27     -632.000
     28     -630.000
     29     -634.000
     30     -636.000
     31     -636.000
     32     -638.000
     33     -638.000
     34     -638.000
     35     -644.000
     36     -646.000
     37     -648.000
     38     -650.000
     39     -650.000
     40     -654.000
     41     -658.000
     42     -660.000
     43     -660.000
     44     -668.000
     45     -672.000
     46     -672.000
     47     -672.000
     48     -672.000
     49     -670.000
     50     -672.000
     51     -670.000
     52     -672.000
     53     -672.000
     54     -670.000
     55     -672.000
     56     -670.000
     57     -672.000
     58     -670.000
     59     -668.000
     60     -668.000
     61     -668.000
     62     -668.000
     63     -670.000
     64     -674.000
     65     -674.000
     66     -674.000
     67     -674.000
     68     -674.000
     69     -670.000
     70     -670.000
     71     -674.000
     72     -672.000
     73     -672.000
     74     -672.000
     75     -674.000
     76     -674.000
     77     -672.000
     78     -674.000
     79     -674.000
     80     -674.000
     81     -674.000
     82     -676.000
     83     -676.000
     84     -676.000
     85     -676.000
     86     -676.000
     87     -676.000
     88     -676.000
     89     -676.000
     90     -676.000
     91     -676.000
     92     -672.000
     93     -670.000
     94     -668.000
     95     -670.000
     96     -672.000
     97     -674.000
     98     -676.000
     99     -674.000
    100     -678.000
    110     -678.000
    120     -680.000
    130     -694.000
    140     -696.000
    150     -704.000
    160     -702.000
    170     -718.000
    180     -722.000
    190     -720.000
    200     -718.000
    210     -722.000
    220     -722.000
    230     -722.000
    240     -720.000
    250     -718.000
    260     -722.000
    270     -720.000
    280     -722.000
    290     -720.000
    300     -722.000
    310     -722.000
    320     -722.000
    330     -722.000
    340     -718.000
    350     -718.000
    360     -720.000
    370     -722.000
    380     -720.000
    390     -720.000
    400     -722.000
    410     -722.000
    420     -722.000
    430     -722.000
    440     -718.000
    450     -720.000
    460     -720.000
    470     -718.000
    480     -716.000
    490     -718.000
    500     -720.000
    510     -716.000
    520     -722.000
    530     -720.000
    540     -722.000
    550     -722.000
    560     -718.000
    570     -722.000
    580     -722.000
    590     -716.000
    600     -722.000
    610     -720.000
    620     -722.000
    630     -720.000
    640     -722.000
    650     -722.000
    660     -716.000
    670     -722.000
    680     -720.000
    690     -722.000
    700     -722.000
    710     -720.000
    720     -720.000
    730     -718.000
    740     -720.000
    750     -720.000
    760     -720.000
    770     -722.000
    780     -722.000
    790     -722.000
    800     -718.000
    810     -720.000
    820     -722.000
    830     -720.000
    840     -722.000
    850     -716.000
    860     -722.000
    870     -722.000
    880     -722.000
    890     -716.000
    900     -720.000
    910     -720.000
    920     -722.000
    930     -722.000
    940     -722.000
    950     -720.000
    960     -718.000
    970     -716.000
    980     -722.000
    990     -722.000
