# Ising model in 2dimensions at kT = 1
#  time     energy  
      0     -318.000
      1     -394.000
      2     -462.000
      3     -486.000
      4     -516.000
      5     -526.000
      6     -546.000
      7     -544.000
      8     -550.000
      9     -558.000
     10     -550.000
     11     -564.000
     12     -578.000
     13     -576.000
     14     -584.000
     15     -592.000
     16     -592.000
     17     -584.000
     18     -606.000
     19     -602.000
     20     -606.000
     21     -626.000
     22     -622.000
     23     -622.000
     24     -624.000
     25     -620.000
     26     -640.000
     27     -632.000
     28     -636.000
     29     -640.000
     30     -634.000
     31     -642.000
     32     -642.000
     33     -630.000
     34     -636.000
     35     -644.000
     36     -638.000
     37     -636.000
     38     -638.000
     39     -626.000
     40     -638.000
     41     -640.000
     42     -642.000
     43     -652.000
     44     -678.000
     45     -680.000
     46     -678.000
     47     -680.000
     48     -680.000
     49     -678.000
     50     -678.000
     51     -676.000
     52     -674.000
     53     -678.000
     54     -680.000
     55     -688.000
     56     -686.000
     57     -692.000
     58     -688.000
     59     -694.000
     60     -688.000
     61     -686.000
     62     -692.000
     63     -692.000
     64     -694.000
     65     -692.000
     66     -694.000
     67     -668.000
     68     -674.000
     69     -688.000
     70     -688.000
     71     -688.000
     72     -682.000
     73     -682.000
     74     -688.000
     75     -690.000
     76     -692.000
     77     -686.000
     78     -670.000
     79     -696.000
     80     -696.000
     81     -686.000
     82     -692.000
     83     -700.000
     84     -700.000
     85     -698.000
     86     -696.000
     87     -688.000
     88     -692.000
     89     -698.000
     90     -702.000
     91     -704.000
     92     -692.000
     93     -696.000
     94     -696.000
     95     -690.000
     96     -690.000
     97     -696.000
     98     -702.000
     99     -704.000
    100     -710.000
    110     -706.000
    120     -716.000
    130     -702.000
    140     -706.000
    150     -712.000
    160     -714.000
    170     -702.000
    180     -698.000
    190     -698.000
    200     -718.000
    210     -706.000
    220     -710.000
    230     -708.000
    240     -704.000
    250     -710.000
    260     -704.000
    270     -714.000
    280     -706.000
    290     -704.000
    300     -716.000
    310     -716.000
    320     -718.000
    330     -720.000
    340     -700.000
    350     -708.000
    360     -712.000
    370     -714.000
    380     -712.000
    390     -716.000
    400     -702.000
    410     -708.000
    420     -714.000
    430     -714.000
    440     -706.000
    450     -708.000
    460     -710.000
    470     -706.000
    480     -706.000
    490     -712.000
    500     -712.000
    510     -706.000
    520     -718.000
    530     -714.000
    540     -714.000
    550     -704.000
    560     -716.000
    570     -718.000
    580     -710.000
    590     -690.000
    600     -696.000
    610     -718.000
    620     -710.000
    630     -708.000
    640     -708.000
    650     -700.000
    660     -704.000
    670     -716.000
    680     -704.000
    690     -710.000
    700     -712.000
    710     -708.000
    720     -714.000
    730     -718.000
    740     -708.000
    750     -718.000
    760     -716.000
    770     -710.000
    780     -716.000
    790     -712.000
    800     -714.000
    810     -698.000
    820     -714.000
    830     -720.000
    840     -716.000
    850     -718.000
    860     -716.000
    870     -716.000
    880     -708.000
    890     -700.000
    900     -704.000
    910     -718.000
    920     -708.000
    930     -716.000
    940     -712.000
    950     -694.000
    960     -704.000
    970     -714.000
    980     -716.000
    990     -716.000
